監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-01-18 05:55
三芝,SHANGI,0.065,2015-01-18 05:55
石崩山,SHIHBENGSHAN,0.067,2015-01-18 05:55
茂林,MAOLIN,0.052,2015-01-18 05:55
金山,CHINSHAN,0.048,2015-01-18 05:55
野柳,YEHLIU,0.054,2015-01-18 05:55
大鵬,TAPERNG,0.065,2015-01-18 05:55
陽明山,YANGMINSHAN,0.057,2015-01-18 05:55
大坪,TAPING,0.062,2015-01-18 05:55
萬里,WANLI,0.072,2015-01-18 05:50
台北,TAIPEI,0.056,2015-01-18 05:55
宜蘭,ILAN,0.063,2015-01-18 05:55
龍潭,LUNGTAN,0.051,2015-01-18 05:55
台中,TAICHUNG,0.071,2015-01-18 05:55
台東,TAITUNG,0.052,2015-01-18 05:55
高雄,KAOHSIUNG,0.060,2015-01-18 05:55
恆春,HENGCHUN,0.069,2015-01-18 05:55
龍泉,LUNGCHUAN,0.057,2015-01-18 05:55
大光,TAKUANG,0.048,2015-01-18 05:55
墾丁,KENTING,0.050,2015-01-18 05:55
後壁湖,HOUBIHU,0.053,2015-01-18 05:55
澳底,AODI,0.050,2015-01-18 06:00
貢寮,GONGLIAO,0.052,2015-01-18 06:00
阿里山,ALISHAN,0.113,2015-01-18 06:00
金門,KINMEN,0.074,2015-01-18 06:00
蘭嶼,LANYU,0.041,2015-01-18 06:00
台南,TAINAN,0.058,2015-01-18 06:00
龍門,LUNGMEN,0.050,2015-01-18 06:00
雙溪,SHUANGSI,0.058,2015-01-18 06:00
三港,SANGANG,0.065,2015-01-18 06:00
新竹,HSINCHU,0.049,2015-01-17 07:55
花蓮,HUALINE,0.052,2015-01-18 06:00
澎湖,PENGHU,0.048,2015-01-18 06:00
馬祖,MATZU,0.052,2015-01-18 06:00
滿州,MANJHOU,0.054,2015-01-18 06:00
板橋,BANCIAO,0.070,2015-01-18 06:00
屏東市,PINGTONG,0.052,2015-01-18 06:00
基隆,KEELUNG,0.057,2015-01-18 06:00
頭城,TOUCHENG,0.052,2015-01-18 06:00
竹北,JHUBEI,0.041,2015-01-18 06:00
苗栗,MIAOLI,0.047,2015-01-18 06:00
南投,NANTOU,0.050,2015-01-18 06:00
彰化,CHANGHUA,0.062,2015-01-18 06:00
雲林,YUNLIN,0.057,2015-01-18 06:00
嘉義,CHIAYI,0.051,2015-01-18 06:00
