"資料集名稱","檔案格式","下載連結","資料集類型","資料集描述","主要欄位說明","資料集提供機關","更新頻率" ,"授權方式","授權說明網址","計費方式","編碼格式","資料集提供機關聯絡人","資料集提供機關聯絡人電話","備註"
"蒙藏委員會補助團體私人情形季報表","csv","http://www.mtac.gov.tw/pages/283/MTAC005.csv","rawData","蒙藏委員會補助團體私人情形季報表","補助對象、補助事項或用途、補助金額、核准日期","蒙藏委員會","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏用語對照表","csv","http://www.mtac.gov.tw/pages/283/MTAC004.zip","rawData","蒙藏用語對照表","類別、蒙文、藏文、英文譯名、中文譯名","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏用語對照表","zip","http://www.mtac.gov.tw/pages/283/MTAC004.zip","other","蒙藏用語對照表","類別、蒙文、藏文、英文譯名、中文譯名","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-23566461",""
"西藏統計資料","xml","http://www.mtac.gov.tw/pages/283/MTAC002.xml","rawData","大陸藏族聚居區人口分布表西藏自治區及西藏流亡組織重要人事資料國外藏族人口分布情形在臺藏胞及居留藏人人口數","戶數、人口數","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙古統計資料","xml","http://www.mtac.gov.tw/pages/283/MTAC001.xml","rawData","在臺蒙胞人口數統計表蒙古國基本資料","戶數、人口數","蒙藏委員會","半年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-23566461",""
"蒙藏委員會性別主流化訓練統計表","csv","http://www.mtac.gov.tw/pages/283/MTAC003.csv","rawData","蒙藏委員會性別主流化訓練統計表","序號、參加人數、性別、性別主流化類訓練名稱、日期、總時數、主辦機關","蒙藏委員會","1年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","蕭先生","02-23566461",""
"3+2碼郵遞區號","txt","http://download.post.gov.tw/post/download/Zip32_UTF8_10303.TXT","rawData","本資料集主要提供3+2郵遞區號資料","Zip Code(區域號碼)、City(縣、市名)、Area(鄉、鎮、市及區名)、Road(街、路段巷名)及	Scope(號弄名)","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","中先生","0800-700-365",""
"縣市鄉鎮中英對照檔","csv","http://download.post.gov.tw/post/download/county_h.csv","rawData","中華郵政公司郵務業務相關資訊，主要提供縣市鄉鎮中英對照Excel檔(漢語拼音,csv檔)","3碼區域號碼、縣市鄉鎮中文名、縣市鄉鎮英文名","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","中先生","0800-700-365",""
"中華郵政全國營業據點","txt","http://www.post.gov.tw/post/FileCenter/post_ww2/OutPut/toCsv/Post_All.txt","rawData","中華郵政公司郵務業務相關資訊","郵遞區號、電腦局號、郵務局號、局名、電腦局名、地址、郵務電話、儲匯電話","中華郵政股份有限公司","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","中先生","0800-700-365",""
"臺灣省諮議會園區公共廁所資訊","csv","http://www.tpa.gov.tw/upfile/www/opendata/dataset/01.zip","rawData","本資料集主要提供臺灣省諮議會園區公共廁所位置資訊。","名稱、公廁編號、緯度y座標(WGS-84)、經度x座標(WGS-84)","臺灣省諮議會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李先生","04-23311259",""
"臺灣省諮議會園區停車場資訊","csv","http://www.tpa.gov.tw/upfile/www/opendata/dataset/02.zip","rawData","本資料集主要提供臺灣省諮議會園區周遭小型車、機車停車場位置資訊。","地點、開放時間、停車格數量、收費方式、緯度y座標(WGS-84)、經度x座標(WGS-84)","臺灣省諮議會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李先生","04-23311259",""
"臺灣省諮議會園區雕像作品資訊","csv","http://www.tpa.gov.tw/upfile/www/opendata/dataset/03.zip","rawData","本資料集主要提供臺灣省諮議會園區具有特色之雕像作品簡介。","類別、名稱、作者、材質、創作年代、作品說明、緯度y座標(WGS-84)、經度x座標(WGS-84)","臺灣省諮議會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李先生","04-23311259",""
"臺灣省諮議會園區週邊餐廳資訊","csv","http://www.tpa.gov.tw/upfile/www/opendata/dataset/04.zip","rawData","本資料集主要提供臺灣省諮議會園區週邊餐廳資訊","名稱、地址、電話、營業時間、備註","臺灣省諮議會","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","吳先生","04-23311321",""
"臺灣省諮議會歷屆議員名單","csv","http://www.tpa.gov.tw/upfile/www/opendata/dataset/05.zip","rawData","本資料集主要提供臺灣省參議會、臨時省議會及省議會各時期當選議員名單及臺灣省諮議會目前諮議員名單，以利民眾查尋。","臺灣省議會各時期名稱、屆別、議員姓名、選出區域","臺灣省諮議會","每3年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","何小姐","04-23311268",""
"中華民國駐外單位聯合網站活動訊息","xml","http://www.taiwanembassy.org/public/Opendata/中華民國駐外單位聯合網站活動訊息.xml","rawData","提供駐外地當地活動訊息","標題、日期、摘要、連結","外交部","每日","依據政府資訊開放平台使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","程先生","02-23805429",""
"職業傷病防治中心名單","csv","http://www.tmsc.tw/職業傷病防治中心名單.CSV","rawData","職業傷病防治中心提供勞工就近性之職業傷病預防、工作因果關係診斷及復工評估、復健轉介及健康與補償法令之諮詢及健康促進等職業健康照護服務。","區域、醫院名稱、聯絡人、聯絡電話、醫院地址","勞動部職業安全衛生署","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","蕭小姐","02-85902777",""
"警察局及所屬分駐所派出所資料","csv","http://tgos.nat.gov.tw/TGOS/Web/MapData/TGOS_DownLoadMapOpenData.aspx?code=TW-04-301010000C-000001_20090505182357","rawData","警政署各縣(市)警察(分)局暨所屬分駐(派出)所點資料","單位名稱、郵遞區號、地址、電話、點位資料(x軸)、點位資料(y軸)","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","曾小姐","02-23931791#6117",""
"行政院公報","xml","http://gazette.nat.gov.tw/egFront/OpenData/download.jsp","rawData","行政院及所屬機關涉及人民權益之法令等重要事項，主要內容有法規、行政規則、公告及送達、處分、特載（總統文告及院長談話）、轉載（經總統公布之條約、法律、緊急命令）、專載（院會院長提示、決定、決議事項）及其他等8大類。","公報類型、編輯分類(篇名)、公告機關、承辦機關、發文日期、發文字號、標題、英文標題、主旨、依據、關鍵字、英文關鍵字、公告事項、表示意見截止日、內容主題、施政分類、服務分類、附件個數、內容網頁連結、英文網址連結。","國家發展委員會","每日","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","鄭先生","02-23165300#6833","本資料集於每週一到週五下午4:10更新為當日已刊登之公報資料。若您要下載非當日的公報資料，請至行政院公報資訊網「Open Data」專區下載。網址：http://gazette.nat.gov.tw/egFront/OpenData/list.jsp"
"數位機會調查","csv","http://www.ndc.gov.tw/dn.aspx?uid=40498","rawData","本會自90年起每年定期辦理「數位落差調查」，近年因強調創造全民共享之資訊社會，政府縮減數位落差政策已逐步轉化為更積極的創造數位機會，於100年正式調整為「數位機會調查」。每年定期辦理「個人/家戶數位機會(落差)調查」，探討國人的資訊近用機會及數位應用的差異情形，本調查主要針對我國22縣市家戶內年滿12歲之本國籍人口進行電話隨機抽樣訪問。註：1.臺中縣、臺南縣及高雄縣於99年底合併為臺中市、臺南市及高雄市。2.臺北縣於99年底改制為新北市。","年度、全國樣本數、全國抽樣誤差、個人電腦使用率、個人上網率、家戶電腦擁有率、家戶連網率、行動上網率、性別及年齡電腦使用率、性別及年齡上網率、22縣市個人電腦使用率及上網率","國家發展委員會","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","林先生","02-23165300#4159",""
"CNS11643中文標準交換碼全字庫(簡稱全字庫)","txt","http://www.cns11643.gov.tw/AIDB/Open_Data.zip","rawData","內容包含全字庫字型、屬性資料及中文碼對照表三部分，其中全字庫字型提供明體、正宋體及正楷體3種；屬性資料則涵蓋注音、倉頡、筆畫、部首、拼音、部件及筆順等7種；中文碼對照表則提供BIG5、Unicode、電信碼、地政自造字、財稅內碼、稅務碼及工商自造字等7種中文內碼對照。","全字庫字型、屬性資料、中文碼對照表","國家發展委員會","不定期","政府資料開放平臺使用規範","http://data.gov.tw/?q=principle","免費","UTF-8","黃先生","02-23165300#6822",""
"iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務","csv","http://itaiwan.gov.tw/func/hotspotlist.csv","rawData","行政院及所屬各級機關(構、全國12個地方縣市政府為提升為民服務品質及滿足民眾外出活動或洽公等候的連網需求， 於各地選定部分機關(構)對外開放的室內公共區域，設置4千餘個WiFi熱點，包含洽公場所、旅遊景點、交通運輸節點、文教館所、公立醫院等，提供民眾免費無線上網基本資訊服務。本服務提供條件查詢功能，民眾可利用四項篩選條件(提供機關、關鍵字、縣市別、場所別)查詢熱點，並下載熱點查詢結果(熱點名稱、區域及地址)，找到iTaiwan免費無線上網服務公共場所。","熱點名稱、區域及地址","國家發展委員會","每月2次","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","ANSI","江先生","02-23165300#6821",""
"當年度工程查核及複查結果","csv","http://gpmnet2.pcc.gov.tw/cmdopendata/File/工程施工查核小組年度查核及複查結果一覽表.csv","rawData","提供當年度工程標案查核及複查結果相關資料(如查核日期、查核小組、工程主辦單位、工程名稱、契約金額、施工廠商、規劃設計單位、監造單位、專案管理單位、評分等相關資料)予民眾查詢。","包括查核日期、查核小組、工程主辦單位、工程名稱、契約金額、施工廠商、規劃設計單位、監造單位、專案管理單位、評分。","行政院公共工程委員會","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費",";ZHT16BIG5(BIG5碼)","廖先生","02-87897745",""
"死因統計","csv","http://www.mohw.gov.tw/cht/DOS/DisplayFile.aspx?url=http%3A//www.mohw.gov.tw/MOHW_Upload/doc/opendata_dead_20141226_0000708002.zip&name=opendata_dead_20141226_0000708002.zip","rawData","提供我國死因次級資料，供各界使用","年度、死亡原因、鄉鎮市區別、性別、年齡代碼及死亡人數","衛生福利部","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","Unicode;","徐先生","02-85906830",""
"地政事務所轄區圖","shp","http://tgos.nat.gov.tw/TGOS/Web/MapData/TGOS_DownLoadMapOpenData.aspx?code=TW-06-301000100G-000003_20101207151300","rawData","臺灣地區地政事務所轄區數值資料，座標系統採TWD97/121分帶","地政事物所別","內政部","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費",";BIG-5","呂小姐","04-22522966#305",""
"村里界圖(TWD97_123分帶)","shp","http://data.moi.gov.tw/MoiOD/System/DownloadFile.aspx?DATA=2C39C99F-1DF0-4331-BF8F-6C0538276FB2","rawData","村里界資訊","ESRI SHP格式(含UTF-8村里代碼表)","內政部","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費",";big-5","呂小姐","04-22522966#305",""
"救援與應變單位點位","csv","http://tgos.nat.gov.tw/TGOS/Web/MapData/TGOS_DownLoadMapOpenData.aspx?code=TW-04-301060000C-000001_20121119111651","rawData","全國消防單位位置及災害應變中心位置，座標系統採TWD97/121分帶","消防隊：隊別、名稱、聯絡電話、地址、X座標、Y座標；應變中心：名稱、地址、電話、是否與消防局同位置","內政部","不定期(提供單位視情況更新)","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費",";big-5","李先生","02-81966134",""
"經濟統計區圖資","kmz","http://egis.moea.gov.tw/MoeaEGPortal/UserDownLoad/StatisticalArea.zip","rawData","1.提供經濟地理統計區圖資，以「統計區分類標準」為依據，配合工商登記與校正調查資料，規劃經濟統計區，包括經濟一級發布區、經濟二級發布區、經濟三級發布區圖資。2.目前提供臺北市、桃園縣、高雄市、新北市、台南市、彰化縣、宜蘭縣、基隆市、新竹縣市、台中市、苗栗縣、南投縣、嘉義縣、雲林縣、嘉義市等16個縣市經濟統計圖資。","「行政區(縣市代碼、鄉鎮市區代碼)」、「統計區編碼(11碼)」","經濟部","每年一次","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","李小姐","02-2321-2200#658",""
"貨品基本資料 (統計參考用)","txt","http://www.trade.gov.tw/OpenData/getOpenData.aspx?oid=1BD193ED6DABAEE6","rawData","提供2~11碼出進口貨品號列及其中英文貨名(含已截止歷史資料)。","貨品號列（2~11碼）、生效日期(YYYMMDD)、 截止日期(YYYMMDD)、中文貨名 、英文貨名。","經濟部國際貿易局","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","金小姐","02-23977488","每項資料間，以TAB鍵區隔"
"年度中小企業重要統計表","xml","http://www.moeasmea.gov.tw/dl.asp?filename=46309412371.rar","rawData","年度中小企業家數、銷售值、出口值及就業人數統計資料","按行業及規模別統計年度全體企業家數，及大企業與中小企業之家數及比率","經濟部中小企業處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","劉先生","02-23662236",""
"國家磐石獎","csv","http://smeaward.moeasmea.gov.tw/moeasmea/wSite/public/Attachment/f1383534470958.csv","rawData","歷屆獲選國家磐石獎企業","屆別、公司名稱、網址、地址、電話","經濟部中小企業處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","曾先生","02-23662219",""
"創新研究獎","csv","http://tsia.moeasmea.gov.tw/moeasmea/wSite/public/Attachment/f1408009177015.zip","rawData","歷屆獲選創新研究獎企業名單","屆別、公司名稱(中文)、公司名稱(英文)、得獎標的","經濟部中小企業處","每年","政府資料開放平臺資料使用規範","http://data.gov.tw/?q=principle","免費","UTF-8;","郭小姐","02-23662212",""
