FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
K7701604,巨擘先進股份有限公司中興廠,2015年第3季,7.606,公噸,,公噸,0,公噸,0,公噸,核算確認中
F1500441,台灣中油股份有限公司煉製事業部桃園煉油廠五股供油服務中心,2015年第2季,1.229,公噸,0.026,公噸,0.006,公噸,0.314,公噸,核算確認中
F1100245,建道工業股份有限公司,2015年第2季,0.186,公噸,2.354,公噸,1.455,公噸,1.009,公噸,核算確認中
F1700736,臺灣電力股份有限公司林口發電廠,2015年第1季,0,公噸,,公噸,0,公噸,0,公噸,核算確認中
J63A1591,台灣積體電路股份有限公司十二廠六期,2014年第4季,0.937,公噸,0,公噸,0.274,公噸,0.916,公噸,核算確認中
J6100066,勤美股份有限公司,2014年第4季,2.66,公噸,6.05,公噸,0.292,公噸,0.087,公噸,核算確認中
J5902155,台灣信越矽利光股份有限公司,2014年第4季,1.971,公噸,0.12,公噸,0.002,公噸,0.324,公噸,核算確認中
J5901676,德亞樹脂股份有限公司,2014年第4季,3.665,公噸,0.34,公噸,1.348,公噸,1.345,公噸,核算確認中
F0602544,永豐化學工業股份有限公司,2014年第4季,0,公噸,,公噸,3.477,公噸,2.412,公噸,核算確認中
E5602854,李長榮化學工業股份有限公司小港廠,2014年第4季,8.056,公噸,0.017,公噸,0.033,公噸,0.501,公噸,核算確認中
E54A3605,曉唐實業有限公司,2014年第4季,0,公噸,,公噸,0.142,公噸,0.099,公噸,核算確認中
E5406183,大地光纖股份有限公司,2014年第4季,2.754,公噸,,公噸,0,公噸,0,公噸,核算確認中
E5100800,福華大飯店股份有限公司高雄分公司,2014年第4季,0,公噸,,公噸,0.09,公噸,0.23,公噸,核算確認中
Q7700370,仁友企業股份有限公司,2014年第3季,0.215,公噸,,公噸,0,公噸,0,公噸,核算確認中
Q7604613,至光實業有限公司,2014年第3季,0,公噸,,公噸,0.059,公噸,0.059,公噸,核算確認中
J61A2816,億升工業股份有限公司,2014年第3季,2.673,公噸,0.01,公噸,0,公噸,0,公噸,核算確認中
J61A2480,有成精密股份有限公司,2014年第3季,0.97,公噸,,公噸,0,公噸,0,公噸,核算確認中
J6000258,建洲窯業股份有限公司,2014年第3季,0.049,公噸,0.05,公噸,1.928,公噸,0.42,公噸,核算確認中
J59A1577,辛耘企業股份有限公司,2014年第3季,1.196,公噸,,公噸,0,公噸,0,公噸,核算確認中
J5900197,大全彩藝工業股份有限公司,2014年第3季,9.474,公噸,0.02,公噸,1.017,公噸,0.22,公噸,核算確認中
I2605164,嘉義優遊商旅股份有限公司,2014年第3季,0,公噸,,公噸,0.048,公噸,0.033,公噸,核算確認中
F1304752,頂嘉麻油食品工廠,2014年第3季,0.004,公噸,,公噸,0.02,公噸,2.658,公噸,核算確認中
F1302678,堅順股份有限公司,2014年第3季,0.259,公噸,,公噸,0,公噸,0,公噸,核算確認中
F0814044,亞琦化粧品有限公司,2014年第3季,0,公噸,,公噸,0,公噸,0,公噸,核算確認中
F0606499,勵進塑膠股份有限公司,2014年第3季,0.263,公噸,,公噸,0,公噸,0,公噸,核算確認中
E5401857,台灣日東電工股份有限公司,2014年第3季,26.595,公噸,0.085,公噸,0,公噸,2.832,公噸,核算確認中
E5401722,台灣塑膠工業公司第四工廠,2014年第3季,1.639,公噸,,公噸,0,公噸,0,公噸,核算確認中
E4900235,中殼潤滑油股份有限公司,2014年第3季,3.408,公噸,2.43,公噸,40.478,公噸,33.382,公噸,核算確認中
B9800615,正旺碾米工廠有限公司,2014年第3季,0,公噸,,公噸,0,公噸,0,公噸,核算確認中
A43A2943,華泰洗衣店,2014年第3季,0.011,公噸,,公噸,0,公噸,0,公噸,核算確認中
