Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,花東,20 - 40,,2 - 3,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,宜蘭,30 - 50,,2 - 4,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,高屏,70 - 90,懸浮微粒,5 - 8,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,雲嘉南,50 - 70,懸浮微粒,4 - 7,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,中部,50 - 70,懸浮微粒,3 - 6,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,竹苗,60 - 80,懸浮微粒,2 - 5,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,北部,60 - 80,懸浮微粒,2 - 5,2015-12-15,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,花東,20 - 40,,1 - 3,2015-12-14,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,宜蘭,20 - 40,,1 - 3,2015-12-14,2015-12-13 12:00
1.13日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.13日高屏地區PM2.5指標為中到高，其他地區為低至中等級。3.14日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。15日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；雲嘉南及高屏地區PM2.5指標為中至高等級，其他地區為低至中等級。,高屏,80 - 100,臭氧,4 - 8,2015-12-14,2015-12-13 12:00
