SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
麥寮,雲林縣,29,,良好,1.1,0.29,19,39,10,9.6,1.4,27,1,2015-05-25 07:00
關山,臺東縣,22,,良好,1,,26,1,1,2.8,0.9,38,1,2015-05-25 07:00
馬公,澎湖縣,36,,良好,1,0.16,44,17,11,1,3.2,94,1,2015-05-25 07:00
金門,金門縣,54,懸浮微粒,普通,7.2,0.39,38,81,39,11,0.9,52,3,2015-05-25 07:00
馬祖,連江縣,42,,良好,1.5,0.16,50,27,11,2.7,2.9,64,2,2015-05-25 07:00
埔里,南投縣,10,,良好,0.7,0.25,12,16,5,8.7,0.4,272,1,2015-05-25 07:00
復興,高雄市,20,,良好,2.1,0.28,9.4,11,5,11,0.8,243,1,2015-05-25 07:00
永和,新北市,20,,良好,2.8,0.62,24,16,7,18,1.1,87,1,2015-05-25 07:00
竹山,南投縣,17,,良好,2.4,0.29,11,22,4,9.7,0.9,238,1,2015-05-25 07:00
中壢,桃園市,24,,良好,3.2,1.48,9.3,33,14,35,0.8,281,1,2015-05-25 07:00
三重,新北市,23,,良好,1.5,1.43,,11,0,32,,,1,2015-05-25 07:00
冬山,宜蘭縣,23,,良好,1.4,0.21,28,,1,9.5,1.2,236,1,2015-05-25 07:00
陽明,臺北市,32,,良好,1.2,0.18,39,,0,0.8,,,1,2015-05-25 07:00
花蓮,花蓮縣,31,,良好,1.2,0.23,37,9,7,4.4,2.3,42,1,2015-05-25 07:00
臺東,臺東縣,29,,良好,1.1,0.27,35,5,1,3.7,1,26,1,2015-05-25 07:00
恆春,屏東縣,33,,良好,1.1,0.08,39,12,0,0.8,6.1,309,1,2015-05-25 07:00
潮州,屏東縣,29,,良好,1.4,0.14,34,18,,4.7,0.7,116,,2015-05-25 07:00
屏東,屏東縣,26,,良好,1.8,0.24,32,14,0,8.5,1.2,245,1,2015-05-25 07:00
小港,高雄市,25,,良好,4.9,0.2,28,14,4,12,1.3,276,1,2015-05-25 07:00
前鎮,高雄市,25,,良好,3,0.18,30,15,0,13,1.2,298,1,2015-05-25 07:00
前金,高雄市,35,,良好,1.4,0.16,42,15,7,3.2,2.8,261,1,2015-05-25 07:00
左營,高雄市,32,,良好,2.4,0.16,39,22,5,4.8,1.8,272,1,2015-05-25 07:00
楠梓,高雄市,30,,良好,1.2,0.2,36,22,0,5.8,1.3,255,,2015-05-25 07:00
林園,高雄市,34,,良好,1.3,0.09,41,15,3,2.4,2.2,159,1,2015-05-25 07:00
大寮,高雄市,23,,良好,0.9,0.16,28,6,5,9.2,1.1,262,1,2015-05-25 07:00
鳳山,高雄市,26,,良好,1,0.3,31,7,0,8.9,1.2,283,1,2015-05-25 07:00
仁武,高雄市,27,,良好,1.5,0.18,33,19,0,11,2.4,268,,2015-05-25 07:00
橋頭,高雄市,30,,良好,1.5,0.17,36,11,0,5.1,2.1,249,,2015-05-25 07:00
美濃,高雄市,24,,良好,0.9,0.13,29,4,2,3.8,1,66,1,2015-05-25 07:00
臺南,臺南市,20,,良好,1.5,0.4,25,7,0,9.1,0.8,154,,2015-05-25 07:00
安南,臺南市,22,,良好,2.2,0.36,7.4,16,0,19,0.4,137,,2015-05-25 07:00
善化,臺南市,18,,良好,1.3,0.17,21,12,4,6.6,1.1,74,1,2015-05-25 07:00
新營,臺南市,18,,良好,1.8,0.25,22,9,2,7.6,1,199,1,2015-05-25 07:00
嘉義,嘉義市,20,,良好,2.2,0.24,24,10,2,5.8,1.2,243,1,2015-05-25 07:00
臺西,雲林縣,17,,良好,1.8,0.21,21,26,13,9.9,1.9,24,1,2015-05-25 07:00
朴子,嘉義縣,19,,良好,1.4,0.43,17,26,6,14,0.9,213,1,2015-05-25 07:00
崙背,雲林縣,11,,良好,1.4,0.27,13,12,6,11,0.8,309,1,2015-05-25 07:00
斗六,雲林縣,18,,良好,1.4,0.31,21,22,3,13,1,213,1,2015-05-25 07:00
南投,南投縣,13,,良好,1,0.26,15,18,5,9.2,1.2,151,1,2015-05-25 07:00
二林,彰化縣,20,,良好,3,0.63,12,44,18,15,1.8,40,1,2015-05-25 07:00
線西,彰化縣,11,,良好,3.6,0.25,14,10,6,25,2.5,39,1,2015-05-25 07:00
彰化,彰化縣,16,,良好,1.8,0.37,12,23,10,14,1,335,1,2015-05-25 07:00
西屯,臺中市,19,,良好,2.5,0.26,13,17,8,12,1.2,309,1,2015-05-25 07:00
忠明,臺中市,9,,良好,1.5,0.3,11,11,0,16,2,324,1,2015-05-25 07:00
大里,臺中市,0,,,1.9,0.47,8.6,6,5,15,1.2,249,1,2015-05-25 07:00
沙鹿,臺中市,19,,良好,2.8,0.3,15,20,1,17,3.3,6,1,2015-05-25 07:00
豐原,臺中市,0,,,2.4,0.35,7,,0,17,1.1,306,,2015-05-25 07:00
三義,苗栗縣,16,,良好,2.2,0.21,19,5,3,8.7,2.6,31,1,2015-05-25 07:00
苗栗,苗栗縣,26,,良好,3.6,0.37,17,33,12,17,0.9,46,1,2015-05-25 07:00
頭份,苗栗縣,22,,良好,3,0.34,17,24,10,29,1.6,68,1,2015-05-25 07:00
新竹,新竹市,14,,良好,2.4,0.31,17,18,11,18,1.4,61,1,2015-05-25 07:00
竹東,新竹縣,20,,良好,3.3,0.32,21,18,20,11,0.8,269,2,2015-05-25 07:00
湖口,新竹縣,25,,良好,3.1,0.33,27,27,8,14,2.3,70,1,2015-05-25 07:00
龍潭,桃園市,36,,良好,2.4,0.3,28,30,10,14,1.6,44,1,2015-05-25 07:00
平鎮,桃園市,25,,良好,4.4,0.38,24,24,7,17,0.9,83,1,2015-05-25 07:00
觀音,桃園市,24,,良好,2,0.25,23,33,9,15,2.1,97,1,2015-05-25 07:00
大園,桃園市,20,,良好,3.4,0.25,18,18,15,23,2.4,85,2,2015-05-25 07:00
桃園,桃園市,18,,良好,3,0.39,22,7,2,15,0.6,77,1,2015-05-25 07:00
大同,臺北市,30,,良好,3.3,1.47,,41,1,37,,,1,2015-05-25 07:00
松山,臺北市,22,,良好,2.2,0.31,26,8,5,16,1.1,72,1,2015-05-25 07:00
古亭,臺北市,19,,良好,2.9,0.31,22,22,6,17,0.9,111,1,2015-05-25 07:00
萬華,臺北市,19,,良好,2,0.32,22,15,2,21,1.1,79,1,2015-05-25 07:00
中山,臺北市,20,,良好,1.7,0.37,24,9,3,18,1.3,105,1,2015-05-25 07:00
士林,臺北市,22,,良好,1.7,0.26,27,18,3,8.7,0.4,97,1,2015-05-25 07:00
淡水,新北市,18,,良好,1.3,0.28,17,21,3,8.3,,,1,2015-05-25 07:00
林口,新北市,27,,良好,1.9,0.2,33,17,2,10,1.2,12,1,2015-05-25 07:00
菜寮,新北市,13,,良好,1.6,0.44,16,11,0,16,1.5,110,,2015-05-25 07:00
新莊,新北市,14,,良好,2.2,0.47,17,10,3,22,0.6,64,1,2015-05-25 07:00
板橋,新北市,15,,良好,2.4,0.43,18,13,4,22,1.2,74,1,2015-05-25 07:00
土城,新北市,21,,良好,3.1,0.33,25,17,12,15,0.8,3.3,2,2015-05-25 07:00
新店,新北市,14,,良好,4.4,0.35,14,15,6,16,0.8,129,1,2015-05-25 07:00
萬里,新北市,40,,良好,2.9,0.14,49,21,7,3.5,3.3,47,1,2015-05-25 07:00
汐止,新北市,22,,良好,3.1,0.3,26,12,4,18,0.7,60,1,2015-05-25 07:00
基隆,基隆市,17,,良好,0.8,0.55,20,14,9,22,0.9,264,1,2015-05-25 07:00
