SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,84,懸浮微粒,普通,9,0.6,4.2,81,28,35,3.5,70,3,39.45,4.26,2015-12-04 21:00
關山,臺東縣,42,,良好,2.2,,27,39,17,8,2,67,2,9.34,1.39,2015-12-04 21:00
馬公,澎湖縣,52,懸浮微粒,普通,3.4,0.3,42,57,22,5.3,6.5,82,2,6.39,1.12,2015-12-04 21:00
金門,金門縣,75,懸浮微粒,普通,5.4,0.31,39,90,28,9.5,5,55,3,10.63,1.14,2015-12-04 21:00
馬祖,連江縣,62,懸浮微粒,普通,4.3,0.26,44,65,26,4.4,5.2,56,3,5.33,.95,2015-12-04 21:00
埔里,南投縣,0,,,3.2,0.73,35,10,7,27,0.8,280,,27.75,.85,2015-12-04 21:00
復興,高雄市,94,懸浮微粒,普通,5.3,1.32,16,148,39,48,0.5,186,5,57.87,10.11,2015-12-04 21:00
永和,新北市,52,懸浮微粒,普通,3.3,0.37,38,48,21,11,3.9,110,2,13.09,2.03,2015-12-04 21:00
竹山,南投縣,84,懸浮微粒,普通,4.3,0.69,1.9,110,66,37,1.6,56,10,44.54,7.22,2015-12-04 21:00
中壢,桃園市,62,懸浮微粒,普通,5.6,0.77,30,70,15,24,2,229,2,39.75,15.7,2015-12-04 21:00
三重,新北市,70,懸浮微粒,普通,6.3,1.28,,85,20,39,,,2,99.81,60.68,2015-12-04 21:00
冬山,宜蘭縣,53,懸浮微粒,普通,2.2,0.26,28,38,11,7.4,2.3,273,2,8.29,.85,2015-12-04 21:00
宜蘭,宜蘭縣,58,懸浮微粒,普通,5,0.32,32,51,23,9.5,2.5,287,2,10.37,.9,2015-12-04 21:00
陽明,臺北市,41,,良好,1.7,0.24,50,31,16,3.2,,,2,4.07,.9,2015-12-04 21:00
花蓮,花蓮縣,41,,良好,4.4,0.48,22,35,21,18,1.4,347,2,20.77,2.9,2015-12-04 21:00
臺東,臺東縣,42,,良好,1.4,0.43,26,49,15,11,2.4,290,2,13.54,2.5,2015-12-04 21:00
潮州,屏東縣,80,懸浮微粒,普通,4.4,0.61,37,115,60,23,0.7,179,8,23.55,1.02,2015-12-04 21:00
屏東,屏東縣,82,懸浮微粒,普通,3,0.87,28,107,32,31,0.9,264,5,32.17,1.21,2015-12-04 21:00
小港,高雄市,80,懸浮微粒,普通,6.4,0.82,9.4,109,43,54,1.3,54,5,56.85,3.02,2015-12-04 21:00
前鎮,高雄市,74,懸浮微粒,普通,3.5,0.91,26,108,41,41,0.6,22,4,43.08,1.89,2015-12-04 21:00
前金,高雄市,82,懸浮微粒,普通,3.5,0.73,26,113,32,35,1.5,310,4,36.19,1.12,2015-12-04 21:00
左營,高雄市,74,懸浮微粒,普通,4.4,0.64,36,110,37,26,0.9,38,5,27.93,1.83,2015-12-04 21:00
楠梓,高雄市,92,懸浮微粒,普通,3.4,0.57,29,127,32,26,1.5,338,4,26.57,.21,2015-12-04 21:00
林園,高雄市,56,懸浮微粒,普通,4.7,0.6,30,84,52,30,1.5,30,5,32.14,2.2,2015-12-04 21:00
大寮,高雄市,72,懸浮微粒,普通,6.3,0.51,34,105,38,25,1,270,5,25.79,1.21,2015-12-04 21:00
鳳山,高雄市,89,懸浮微粒,普通,6.6,0.73,29,122,44,30,1.2,61,5,32.38,2.14,2015-12-04 21:00
仁武,高雄市,82,懸浮微粒,普通,4.6,0.7,16,125,40,41,0.6,43,5,42.85,1.71,2015-12-04 21:00
橋頭,高雄市,85,懸浮微粒,普通,4.4,0.64,23,133,41,30,1.3,18,4,31.82,1.76,2015-12-04 21:00
美濃,高雄市,76,懸浮微粒,普通,1.9,0.44,31,103,47,15,0.7,183,5,15.58,.53,2015-12-04 21:00
臺南,臺南市,72,懸浮微粒,普通,6.5,0.72,7.1,111,40,36,1.1,56,4,38.77,2.41,2015-12-04 21:00
安南,臺南市,75,懸浮微粒,普通,4.4,0.53,8.4,108,28,29,1.5,325,3,28.53,0,2015-12-04 21:00
善化,臺南市,75,懸浮微粒,普通,6.1,0.55,5.8,96,44,30,1.3,310,5,32.42,2.25,2015-12-04 21:00
新營,臺南市,79,懸浮微粒,普通,7.6,0.62,3,98,32,34,2,4.1,3,37.12,2.83,2015-12-04 21:00
嘉義,嘉義市,82,懸浮微粒,普通,5.9,0.82,3,115,48,36,2.2,26,5,45.54,9.06,2015-12-04 21:00
臺西,雲林縣,52,懸浮微粒,普通,8.3,0.41,17,59,17,26,6.4,28,2,27.21,1.57,2015-12-04 21:00
朴子,嘉義縣,82,懸浮微粒,普通,7.1,0.5,7.9,84,31,28,2.2,55,3,29.85,1.66,2015-12-04 21:00
新港,嘉義縣,76,懸浮微粒,普通,3.8,0.48,10,91,25,24,3.2,318,3,26.1,2.21,2015-12-04 21:00
崙背,雲林縣,66,懸浮微粒,普通,4,0.4,8.8,69,31,24,3.5,45,4,25.48,1.95,2015-12-04 21:00
斗六,雲林縣,72,懸浮微粒,普通,4,0.48,4.9,74,35,32,1.6,36,6,35.49,3.68,2015-12-04 21:00
南投,南投縣,66,懸浮微粒,普通,4.6,0.81,1.4,66,22,34,1.2,354,3,48.34,14.13,2015-12-04 21:00
二林,彰化縣,61,懸浮微粒,普通,3.7,0.34,16,64,26,20,2.6,50,3,20.59,.14,2015-12-04 21:00
線西,彰化縣,54,懸浮微粒,普通,4.7,0.33,20,50,24,21,4,41,2,22.82,1.39,2015-12-04 21:00
彰化,彰化縣,46,,良好,3.2,0.66,5.7,44,12,28,1.2,31,2,33.59,5.38,2015-12-04 21:00
西屯,臺中市,48,,良好,1.3,0.4,17,52,18,20,2.4,39,2,21.01,1.5,2015-12-04 21:00
忠明,臺中市,45,,良好,3.8,0.64,3.3,38,21,29,1.3,48,2,35.76,6.58,2015-12-04 21:00
大里,臺中市,53,懸浮微粒,普通,3.9,1.02,2.5,38,24,31,1.1,302,3,53.87,22.56,2015-12-04 21:00
沙鹿,臺中市,50,,良好,2.2,0.38,20,44,11,18,3.3,21,2,19.31,.94,2015-12-04 21:00
豐原,臺中市,38,,良好,1.6,0.6,4.4,25,26,20,0.5,85,3,22.94,2.49,2015-12-04 21:00
三義,苗栗縣,50,,良好,1.2,0.31,25,39,15,6.2,3.7,28,2,7.3,1.14,2015-12-04 21:00
苗栗,苗栗縣,52,懸浮微粒,普通,2.9,0.6,21,54,19,21,1.3,43,2,24.81,3.41,2015-12-04 21:00
頭份,苗栗縣,51,懸浮微粒,普通,2.9,0.37,29,46,24,21,2,70,2,21.74,.99,2015-12-04 21:00
新竹,新竹市,55,懸浮微粒,普通,3.8,0.46,34,49,17,15,2.6,74,2,16.6,1.74,2015-12-04 21:00
竹東,新竹縣,42,,良好,2.6,0.36,33,37,19,9.8,2,130,2,10.36,.57,2015-12-04 21:00
湖口,新竹縣,56,懸浮微粒,普通,3.9,0.33,41,51,17,9.3,7.7,64,2,11.18,1.87,2015-12-04 21:00
龍潭,桃園市,49,,良好,3.3,0.36,36,40,30,9.7,5.5,59,2,11.17,1.52,2015-12-04 21:00
平鎮,桃園市,56,懸浮微粒,普通,4.7,0.39,36,56,25,12,5.1,69,2,12.15,.16,2015-12-04 21:00
觀音,桃園市,62,懸浮微粒,普通,6.9,0.34,33,63,24,17,7.1,85,2,18.43,1.11,2015-12-04 21:00
