SiteName,MonitorDate,Concentration,ItemUnit
馬公,2015-11-02,17,μg/m3
金門,2015-11-02,18,μg/m3
馬祖,2015-11-02,19,μg/m3
宜蘭,2015-11-02,5,μg/m3
陽明,2015-11-02,3,μg/m3
花蓮,2015-11-02,4,μg/m3
臺東,2015-11-02,4,μg/m3
恆春,2015-11-02,4,μg/m3
屏東,2015-11-02,36,μg/m3
前金,2015-11-02,31,μg/m3
美濃,2015-11-02,27,μg/m3
臺南,2015-11-02,23,μg/m3
新營,2015-11-02,24,μg/m3
嘉義,2015-11-02,26,μg/m3
朴子,2015-11-02,23,μg/m3
斗六,2015-11-02,23,μg/m3
南投,2015-11-02,16,μg/m3
彰化,2015-11-02,16,μg/m3
忠明,2015-11-02,14,μg/m3
豐原,2015-11-02,12,μg/m3
三義,2015-11-02,12,μg/m3
苗栗,2015-11-02,16,μg/m3
新竹,2015-11-02,20,μg/m3
竹東,2015-11-02,9,μg/m3
平鎮,2015-11-02,20,μg/m3
桃園,2015-11-02,20,μg/m3
萬華,2015-11-02,22,μg/m3
士林,2015-11-02,14,μg/m3
板橋,2015-11-02,22,μg/m3
汐止,2015-11-02,24,μg/m3
基隆,2015-11-02,23,μg/m3
馬公,2015-10-30,29,μg/m3
金門,2015-10-30,43,μg/m3
馬祖,2015-10-30,20,μg/m3
宜蘭,2015-10-30,20,μg/m3
陽明,2015-10-30,15,μg/m3
花蓮,2015-10-30,16,μg/m3
臺東,2015-10-30,14,μg/m3
恆春,2015-10-30,12,μg/m3
屏東,2015-10-30,37,μg/m3
前金,2015-10-30,43,μg/m3
美濃,2015-10-30,37,μg/m3
臺南,2015-10-30,40,μg/m3
新營,2015-10-30,38,μg/m3
嘉義,2015-10-30,34,μg/m3
朴子,2015-10-30,49,μg/m3
斗六,2015-10-30,34,μg/m3
南投,2015-10-30,28,μg/m3
彰化,2015-10-30,31,μg/m3
忠明,2015-10-30,31,μg/m3
豐原,2015-10-30,24,μg/m3
三義,2015-10-30,22,μg/m3
苗栗,2015-10-30,23,μg/m3
新竹,2015-10-30,23,μg/m3
竹東,2015-10-30,21,μg/m3
平鎮,2015-10-30,30,μg/m3
桃園,2015-10-30,27,μg/m3
萬華,2015-10-30,20,μg/m3
士林,2015-10-30,21,μg/m3
板橋,2015-10-30,24,μg/m3
汐止,2015-10-30,,μg/m3
基隆,2015-10-30,22,μg/m3
馬公,2015-10-27,27,μg/m3
金門,2015-10-27,32,μg/m3
馬祖,2015-10-27,32,μg/m3
宜蘭,2015-10-27,19,μg/m3
陽明,2015-10-27,23,μg/m3
花蓮,2015-10-27,14,μg/m3
臺東,2015-10-27,15,μg/m3
恆春,2015-10-27,18,μg/m3
屏東,2015-10-27,25,μg/m3
前金,2015-10-27,22,μg/m3
美濃,2015-10-27,24,μg/m3
臺南,2015-10-27,25,μg/m3
新營,2015-10-27,29,μg/m3
嘉義,2015-10-27,33,μg/m3
朴子,2015-10-27,33,μg/m3
斗六,2015-10-27,43,μg/m3
南投,2015-10-27,46,μg/m3
彰化,2015-10-27,48,μg/m3
忠明,2015-10-27,46,μg/m3
豐原,2015-10-27,50,μg/m3
三義,2015-10-27,48,μg/m3
苗栗,2015-10-27,38,μg/m3
新竹,2015-10-27,36,μg/m3
竹東,2015-10-27,34,μg/m3
平鎮,2015-10-27,37,μg/m3
桃園,2015-10-27,33,μg/m3
萬華,2015-10-27,28,μg/m3
士林,2015-10-27,29,μg/m3
板橋,2015-10-27,31,μg/m3
汐止,2015-10-27,31,μg/m3
基隆,2015-10-27,27,μg/m3
馬公,2015-10-24,20,μg/m3
金門,2015-10-24,32,μg/m3
馬祖,2015-10-24,25,μg/m3
宜蘭,2015-10-24,13,μg/m3
陽明,2015-10-24,6,μg/m3
花蓮,2015-10-24,13,μg/m3
臺東,2015-10-24,7,μg/m3
恆春,2015-10-24,7,μg/m3
屏東,2015-10-24,25,μg/m3
前金,2015-10-24,33,μg/m3
美濃,2015-10-24,21,μg/m3
臺南,2015-10-24,36,μg/m3
新營,2015-10-24,29,μg/m3
嘉義,2015-10-24,35,μg/m3
朴子,2015-10-24,29,μg/m3
斗六,2015-10-24,36,μg/m3
南投,2015-10-24,26,μg/m3
彰化,2015-10-24,20,μg/m3
忠明,2015-10-24,18,μg/m3
豐原,2015-10-24,14,μg/m3
三義,2015-10-24,15,μg/m3
苗栗,2015-10-24,19,μg/m3
新竹,2015-10-24,20,μg/m3
竹東,2015-10-24,13,μg/m3
平鎮,2015-10-24,19,μg/m3
桃園,2015-10-24,17,μg/m3
萬華,2015-10-24,17,μg/m3
士林,2015-10-24,14,μg/m3
板橋,2015-10-24,17,μg/m3
汐止,2015-10-24,17,μg/m3
基隆,2015-10-24,18,μg/m3
馬公,2015-10-21,14,μg/m3
金門,2015-10-21,17,μg/m3
馬祖,2015-10-21,16,μg/m3
宜蘭,2015-10-21,7,μg/m3
陽明,2015-10-21,5,μg/m3
花蓮,2015-10-21,7,μg/m3
臺東,2015-10-21,6,μg/m3
恆春,2015-10-21,6,μg/m3
屏東,2015-10-21,20,μg/m3
前金,2015-10-21,17,μg/m3
美濃,2015-10-21,13,μg/m3
臺南,2015-10-21,28,μg/m3
新營,2015-10-21,37,μg/m3
嘉義,2015-10-21,50,μg/m3
朴子,2015-10-21,48,μg/m3
斗六,2015-10-21,81,μg/m3
南投,2015-10-21,68,μg/m3
彰化,2015-10-21,42,μg/m3
忠明,2015-10-21,54,μg/m3
豐原,2015-10-21,35,μg/m3
三義,2015-10-21,14,μg/m3
苗栗,2015-10-21,11,μg/m3
新竹,2015-10-21,12,μg/m3
竹東,2015-10-21,7,μg/m3
平鎮,2015-10-21,12,μg/m3
桃園,2015-10-21,13,μg/m3
萬華,2015-10-21,13,μg/m3
士林,2015-10-21,11,μg/m3
板橋,2015-10-21,12,μg/m3
汐止,2015-10-21,12,μg/m3
基隆,2015-10-21,12,μg/m3
馬公,2015-10-18,18,μg/m3
金門,2015-10-18,22,μg/m3
馬祖,2015-10-18,18,μg/m3
宜蘭,2015-10-18,15,μg/m3
陽明,2015-10-18,7,μg/m3
花蓮,2015-10-18,15,μg/m3
臺東,2015-10-18,16,μg/m3
恆春,2015-10-18,13,μg/m3
屏東,2015-10-18,46,μg/m3
前金,2015-10-18,41,μg/m3
美濃,2015-10-18,41,μg/m3
臺南,2015-10-18,33,μg/m3
新營,2015-10-18,30,μg/m3
嘉義,2015-10-18,32,μg/m3
朴子,2015-10-18,26,μg/m3
斗六,2015-10-18,32,μg/m3
南投,2015-10-18,25,μg/m3
彰化,2015-10-18,20,μg/m3
忠明,2015-10-18,18,μg/m3
豐原,2015-10-18,18,μg/m3
三義,2015-10-18,16,μg/m3
苗栗,2015-10-18,16,μg/m3
新竹,2015-10-18,16,μg/m3
竹東,2015-10-18,12,μg/m3
平鎮,2015-10-18,16,μg/m3
桃園,2015-10-18,17,μg/m3
萬華,2015-10-18,18,μg/m3
士林,2015-10-18,15,μg/m3
板橋,2015-10-18,17,μg/m3
汐止,2015-10-18,18,μg/m3
基隆,2015-10-18,17,μg/m3
馬公,2015-10-15,12,μg/m3
金門,2015-10-15,35,μg/m3
馬祖,2015-10-15,27,μg/m3
宜蘭,2015-10-15,11,μg/m3
陽明,2015-10-15,9,μg/m3
