"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00146877","欣隆天然氣股份有限公司","基隆市信義區信一路57號4樓","潘恭孝","600000000","1040923"
"2","00661347","市港建設開發股份有限公司","基隆市中正區港通里信五路55之2號","張境在","30000000","1040922"
"3","00664338","平安運輸有限公司","臺北市士林區德行東路266巷8號2樓","吳筱茹","5000000","1040921"
"4","00795628","明鑫機械有限公司","新北市萬里區漁澳79之3號5樓","林永昇","12000000","1040911"
"5","00812458","興陽國際有限公司","新北市淡水區鄧公路30巷1弄45號1樓","陳偉明","20000000","1040917"
"6","01076610","清泉投資股份有限公司","臺北市中正區懷寧街78號5樓","","70000000","1040901"
"7","01179307","大群育樂股份有限公司","桃園市蘆竹區營盤里六福一路195巷1弄8號","徐千惠","1000000","1040907"
"8","01189353","雅光有限公司","臺北市內湖區堤頂大道1段215號、215號2樓、3樓、4樓、5樓、6樓、7樓及217號、217號3樓、4樓、5樓、6樓","廖全平","125000000","1040914"
"9","01406056","蒙恬實業股份有限公司","臺北市內湖區成功路2段8號2樓","林澤顯","28000000","1040908"
"10","01408955","泉笙企業有限公司","臺北市中山區新生北路3段7號8樓","周美淑","29000000","1040923"
"11","01410919","小雅室內裝修有限公司","臺北市中山區長春路65號12樓","陳淑英","1200000","1040916"
"12","01506132","潤鑫企業股份有限公司","高雄市鳳山區立志街30之3號5樓","王錦鈴","20000000","1040921"
"13","01514978","九如江記圖書有限公司","新北市林口區文化三路1段366號2樓之3 ","江憲助","1000000","1040908"
"14","01516589","台灣諾華股份有限公司","臺北市中正區仁愛路2段99號11，12，13樓","司徒諾格(Christopher Snook)","170000000","1040921"
"15","01518051","京威企業股份有限公司","臺北市松山區敦化北路201之4號12樓","馬遠芬","29500000","1040924"
"16","01630738","加美光學股份有限公司","新北市新店區北新路3段225號6樓","楊國顯","272000000","1040914"
"17","01813027","北圜實業有限公司","臺北市士林區中山北路6段277巷10號1樓","余興鴻","32000000","1040901"
"18","01862440","高葆企業有限公司","新北市樹林區西圳街1段156號","高翎翔","10000000","1040917"
"19","01884606","祐鋒實業股份有限公司","彰化縣芳苑鄉後寮村工區四路9號","謝陳文琴","20160000","1040930"
"20","01887792","新榮緯股份有限公司","新北市鶯歌區中正三路335巷38號","陳柏瑞","91000000","1040904"
"21","01976801","健舜工業有限公司","新北市三重區中興北街42巷44號","沈昭絨","10000000","1040921"
"22","01980087","美穎成衣有限公司","新北市三重區三和路4段20巷85號1樓","劉金鐘","600000","1040921"
"23","01993858","新北市果菜運銷股份有限公司","新北市三重區中正北路111號","廖榮清","25000000","1040914"
"24","02086600","大億有限公司","新北市五股區五權二路31號","吳常平","8000000","1040910"
"25","02280082","一誠水電工程有限公司","新北市新店區建國路55號4樓","唐保麟","10000000","1040903"
"26","02290791","璟茂實業股份有限公司","新北市瑞芳區魚坑路67之3號","江吉聖","88500000","1040925"
"27","02746434","長安煤氣有限公司","新竹縣湖口鄉長嶺村5鄰長安路78號1樓","鄭明輝","1000000","1040901"
"28","02949178","冠舟企業有限公司","臺中市北屯區松茂里松竹路二段105號1樓","陳國瑤","5000000","1040902"
"29","03036306","上海商業儲蓄銀行股份有限公司","臺北市中山區民權東路1段2號","榮鴻慶","39991207250","1040921"
"30","03064421","中央投資股份有限公司","臺北市中山區八德路2段232號6樓","陳樹","11000000000","1040910"
"31","03077208","中國信託商業銀行股份有限公司","臺北市南港區經貿二路166、168、170、186、188號","童兆勤","105205779050","1040902"
"32","03084307","中部貿易股份有限公司","臺北市中正區博愛路130號7樓之2","陳文仁","5000000","1040901"
"33","03086001","中國電器股份有限公司","臺北市中正區忠孝東路2段9號","周麗真","3984391860","1040907"
"34","03087803","中殼潤滑油股份有限公司","高雄市楠梓區宏毅二路南12巷2號1樓","鄭金玲","690408000","1040917"
"35","03122301","台北丸台運送股份有限公司","高雄市苓雅區凱旋一路43號2樓","蘇信吉","10000000","1040916"
"36","03178418","吉發企業股份有限公司","臺北市中正區愛國西路9號2樓之9","戎偉德","25000000","1040909"
"37","03185902","老達利貿易股份有限公司","臺北市南港區重陽路223號5樓","林育良","120000000","1040909"
"38","03221766","法蝶國際開發股份有限公司","新北市五股區五權路7巷2、10號6樓","蔡柏廷","42000000","1040930"
"39","03236310","武祥貿易股份有限公司","臺北市中山區長春路100號5樓之6","劉瑞麒","100000000","1040917"
"40","03276425","欣鋒有限公司","臺北市大安區敦化南路1段205號7樓之5","袁景華","5000000","1040921"
"41","03279507","信大水泥股份有限公司","臺北市中正區寶慶路37號7樓","楊德雄","3789006840","1040901"
"42","03359109","第一產物保險股份有限公司","臺北市中正區忠孝東路1段54號10、11樓","李正漢","3011637840","1040903"
"43","03369205","強亞貿易股份有限公司","臺北市中正區新生南路1段16號7樓","關志森","18000000","1040925"
"44","03427325","富都旅行社股份有限公司","臺北市中山區松江路158號5樓之1","倪衛國","16000000","1040911"
"45","03449806","博大汽車股份有限公司","臺北市中山區南京東路1段120號5樓之3","陳美惠","44500000","1040923"
"46","03453809","裕民貿易股份有限公司","臺北市大安區敦化南路2段207號34樓","蔡敏雄","81966430","1040914"
"47","03458902","新光人壽保險股份有限公司","臺北市中正區忠孝西路1段66號31-43樓","吳東進","57975605920","1040911"
"48","03533402","綠野觀光汽車股份有限公司","高雄市前金區新盛一街9之13號","陳益勝","28000000","1040922"
"49","03550014","台灣富士全錄股份有限公司","臺北市松山區敦化北路88號7樓","本多雅","1267235320","1040922"
"50","03557017","臺灣人壽保險股份有限公司","臺北市中山區中山北路二段42號","許舒博","10262307060","1040930"
"51","03557311","臺灣銀行股份有限公司","臺北市中正區建國里重慶南路1段120號","李紀珠","95000000000","1040916"
"52","03558206","臺灣中華化學工業股份有限公司","桃園市觀音區樹林里工業五路15號","干文元","1102500000","1040903"
"53","03561906","臺灣商務印書館股份有限公司","新北市新店區復興路43號8樓","王春申","100","1040914"
"54","03576611","銳昌企業股份有限公司","臺北市內湖區陽光街321巷12號1樓","李震東","15000000","1040914"
"55","03578218","德貿股份有限公司","臺北市中正區林森北路5巷6號1樓","李華強","80000000","1040910"
"56","03634507","台灣通運倉儲股份有限公司","臺北市中山區中山北路2段113號10樓","辜成允","389620000","1040915"
"57","03700301","臺灣土地銀行股份有限公司","臺北市中正區黎明里10鄰館前路46號","吳當傑","50000000000","1040923"
"58","03705903","兆豐國際商業銀行股份有限公司","臺北市中山區中原里吉林路100號","蔡友才","80000000000","1040911"
"59","03742301","華南商業銀行股份有限公司","臺北市信義區松仁路123號","徐光曦","67676000000","1040910"
"60","03793407","臺灣中小企業銀行股份有限公司","臺北市大同區玉泉里9鄰塔城街30號","朱潤逢","56846617870","1040914"
"61","04204049","日暉池上股份有限公司","臺北市中正區中華路1段59號8樓","鄭越才","835300000","1040914"
"62","04207968","南榮貿易股份有限公司","臺北市中正區開封街1段69號","林慧如","68688000","1040907"
"63","04208832","台灣通力電梯股份有限公司","臺北市內湖區洲子街88號6樓之1","夏文書(Har Boon Cher )","300000000","1040904"
"64","04211689","琴府有限公司","臺北市大安區市民大道4段68巷1號","陳及人","5000000","1040903"
"65","04212596","小法股份有限公司","桃園市龍潭區百年二街29號18樓之3","邱進森","22000000","1040925"
"66","04219562","台灣精工國際股份有限公司","臺北市中山區建國北路1段90號7樓","庄山昌彥","44000000","1040908"
"67","04228083","福誼企業股份有限公司","苗栗縣造橋鄉龍昇村渡船頭22-1號　","王國儒","187500000","1040921"
"68","04229576","明邦旅行社股份有限公司","臺北市中山區復興北路156號5樓","吳承軒","7000000","1040907"
