"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00710608","添田企業有限公司","基隆市七堵區東新街37巷34號","","2000000","0680619","1040715"
"2","01190963","良崎企業有限公司","臺北市中山區南京東路1段25號3樓之2","","5000000","0741122","1040703"
"3","01985983","毅豪工業有限公司","新北市蘆洲區民族路33巷20號","","3500000","0741021","1040730"
"4","02077996","環音企業有限公司","新北市泰山區大科里大科坑37號","","1000000","0740918","1040702"
"5","02358476","貫源實業有限公司","新北市中和區新生街一一四巷二一號一樓","","2000000","0741128","1040730"
"6","03350022","益生科技股份有限公司","臺北市大安區信義路4段151號6樓","","10000000","0590130","1040706"
"7","03376304","祥康製衣股份有限公司","臺北市松山區民生東路3段135號4樓","","34320000","0780522","1040713"
"8","03460409","全德貿易有限公司","臺北市中山區長安東路2段31號6樓之3","","10000000","0490722","1040730"
"9","04380468","大輝窯業股份有限公司","臺北市北投區明德路203之7號2樓","","4500000","0620611","1040717"
"10","04450800","恩大有限公司","臺北市大同區民權西路136號15樓之1","","6000000","0630614","1040709"
"11","04485202","岳祥有限公司","新北市中和區永貞路二八二巷二號五樓","","8000000","0671226","1040716"
"12","04742645","元輝實業股份有限公司","臺北市南港區昆陽街171巷4弄15號1樓","","20000000","0641226","1040713"
"13","04788183","偉利鐵工廠股份有限公司","臺北市南港區成功路1段27號1樓","","4500000","0670109","1040730"
"14","04807750","聯桂實業有限公司","臺北市中正區汀州路3段207號3樓","林獻揚","5000000","0690722","1040721"
"15","04858589","樺鑫水電有限公司","南投縣鹿谷鄉鹿谷村中正路二段一七七號","","4000000","0650319","1040727"
"16","04894059","祥實企業有限公司","臺北市文山區景福街30號6樓之3","","1000000","0700114","1040709"
"17","05005519","豪揚有限公司","臺北市大安區敦化南路1段337號8樓","","2000000","0680618","1040720"
"18","05252481","美依貿易有限公司","新北市土城區中央路二段61巷28號3樓","","1000000","0720919","1040717"
"19","05258400","萬元有限公司","臺北市大同區長安西路204號","","1500000","0740107","1040701"
"20","06590355","七偉實業股份有限公司","臺南市永康區東橋里自強路一○七號","","5000000","0741109","1040709"
"21","06666100","統晟股份有限公司","高雄市三民區凱國路37號","","6000000","0740730","1040723"
"22","07057013","天和百貨實業股份有限公司","臺北市大同區重慶南路2段59號5樓之2","","1000000","0620131","1040707"
"23","07635020","燦億食品有限公司","臺北市士林區承德路4段292巷11弄13號1樓","","5000000","0680403","1040717"
"24","07715044","永松企業有限公司","臺北市大同區南京西路233巷9號","","1000000","0721020","1040706"
"25","07725346","彩軒珠線莊有限公司","臺北市大同區南京西路167巷8之1號1樓","","8000000","0730714","1040707"
"26","11083512","日朋旅行社股份有限公司","臺北市中山區長春路40號3樓之1","","13680000","0590731","1040729"
"27","12164920","陞嘉實業有限公司","臺北市大同區承德路1段77巷18號2樓","","1200000","0670406","1040703"
"28","12183927","喬東企業有限公司","臺北市大安區仁愛路4段405號4樓","","5000000","0670727","1040721"
"29","12192876","燿興企業有限公司","臺北市北投區中正街11號1樓","","6000000","0670918","1040709"
"30","12347055","貿達針織股份有限公司","新北市三重區三和路4段111之34號2樓之1","","29236110","0700907","1040717"
"31","12370301","鍵賢企業股份有限公司","臺北市大同區重慶北路2段46巷46之1號1樓","","7000000","0690211","1040717"
"32","12441426","聖旺工程有限公司","臺北市中山區長安東路2段31號602室","","1000000","0720527","1040722"
"33","12476228","勝明企業有限公司","臺北市大同區寧夏路11號5樓之8","","5000000","0730109","1040716"
"34","12484114","一能資通科技有限公司","臺北市中山區中山北路2段62巷2號3樓","","3200000","0730316","1040720"
"35","12492304","心美力塗料有限公司","新北市樹林區俊英街一一六巷四一弄十四號一樓","","5000000","0730502","1040722"
"36","12533240","開智實業有限公司","臺北市中山區長安東路1段16號11樓之5","","2000000","0731227","1040724"
"37","12609888","鄉吧佬企業有限公司","高雄市大寮區中興里中華北巷79號","","2000000","0890901","1040724"
