"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","24796892","韓商創映先進股份有限公司","臺南市新市區港墘里三民街139號2樓","梁起一","25000","1040917"
"2","24797549","英屬開曼群島商標普有限公司","臺中市南屯區惠中里文心路1段378號20樓之5","楊婉菁","0","1040828"
"3","24797576","貝里斯商越將國際股份有限公司","臺中市西屯區市政北二路29號24樓之1","林郁綺","10000000","1040828"
"4","24797581","香港商圈方設計有限公司","臺北市大安區忠孝東路4段142號3樓之3","永安","500000","1040831"
"5","24797652","獅王家品股份有限公司","新北市三重區重新路4段97號18樓之1","紀平福","530000000","1040901"
"6","24797668","英屬維京群島商宇亮庭園有限公司","新北市新莊區五權一路3號7樓之8","張冠群","20000000","1040901"
"7","24797674","香港商桂格有限公司","臺北市松山區松河街180-1號5樓","陳彥竹","1000000","1040901"
"8","24797689","英屬維京群島商時代資產開發有限公司","臺中市西屯區臺灣大道2段309號8樓之2","許碧滿","28000000","1040831"
"9","24797695","香港商聖濰有限公司","臺北市中山區南京東路2段101號11樓","劉又瑄","2000000","1040901"
"10","24797724","日商大口電子股份有限公司","高雄市苓雅區自強三路3號23樓之3","勝目一郎","0","1040901"
"11","24797745","貝里斯商亞星茂投資有限公司","新北市林口區文化三路1段394巷6號13樓","陳頂茂","10000000","1040909"
"12","24797750","香港商逍亞有限公司","臺北市大安區忠孝東路3段235-8號","查理","0","1040901"
"13","24797793","澳門商信澳安全技術顧問有限公司","臺北市信義區忠孝東路5段1-1號9樓","吳智堅","0","1040902"
"14","24797800","美商賽路強股份有限公司","臺北市信義區忠孝東路4段560號13樓","蔡孟彥","0","1040902"
"15","24797816","英屬開曼群島商泰福生技股份有限公司","臺北市信義區光復南路421號5樓","陳志全","0","1040902"
"16","24797822","貝里斯商和信有限公司","高雄市前鎮區光華三路229號14樓","陳啓耀","0","1040902"
"17","24797837","英屬維京群島商橙山資產管理有限公司","臺中市西屯區臺灣大道2段309號8樓之2","林綉珠","28000000","1040902"
"18","24797870","貝里斯商醒能股份有限公司","新北市板橋區重慶路249號11樓之1","張俊堂","500000","1040902"
"19","24797885","達林開發股份有限公司","臺北市大安區敦化南路2段92號12樓","王人正","702658230","1040909"
"20","24797891","日商淡陶股份有限公司","臺北市信義區基隆路2段51號14樓","安原光仁","0","1040902"
"21","24797908","香港商樂全健康醫療養老管理顧問股份有限公司","新北市新店區北新路1段89號2樓之2","蔡宗學","0","1040903"
"22","24797914","新加坡商巨量客有限公司","臺北市大安區和平東路3段63號8樓","黃偉祥","100000","1040902"
"23","24797941","薩摩亞商秘密甜點有限公司","新北市板橋區翠華街8巷17號2樓","陳國文","5000000","1040903"
"24","24797962","新加坡商聯合水務有限公司","新北市汐止區新台五路1段106號19樓","潘書鴻","1000000","1040907"
"25","24797978","蔡氏商業有限公司","金門縣金湖鎮瓊林里瓊林7號","蔡其雍","3000000","1040903"
"26","24797983","金建發營造有限公司","金門縣金城鎮中興路205巷13-1號3樓","王博玄","3000000","1040904"
"27","24797999","香港商新富利環球有限公司","臺北市大安區忠孝東路4段221號8樓","潘思安","1000000","1040907"
"28","24798006","大陸商深圳市亞派光電器件有限公司","新北市中和區中原里橋和路120號6樓之7","谷仍賢","0","1040909"
"29","24798012","香港商里仁大有國際實業有限公司","金門縣金湖鎮新市里太湖路2段3巷1弄1號4樓","陳聰財","1000000","1040909"
"30","24798028","薩摩亞商名瓏有限公司","臺北市信義區基隆路1段420號2樓之1","顏孟德","1500000","1040907"
"31","24798049","日商時代樂富股份有限公司","臺北市中山區中山北路2段129號6樓之2","小野和彥","0","1040907"
"32","24798054","日商慕斯蒂股份有限公司","臺北市信義區市民大道6段250號6樓","鈴木和彥","0","1040907"
"33","24798076","秘魯商文化馬丘比丘有限公司","臺北市大安區敦化南路1段205號7樓之5","何種漢","0","1040907"
"34","24798081","印度商希榮科技股份有限公司","新竹縣竹北市縣政十一街68號3樓","郭嘉揚","1000000","1040907"
"35","24798097","香港商安達順國際供應鏈(香港)有限公司","桃園市龜山區大湖里文化二路38之3號2樓之2","陳肯","0","1040907"
"36","24798104","日商兵神機械工業股份有限公司","臺北市松山區復興北路369號4樓","友藤昇平","0","1040909"
"37","24798110","克羅埃西亞商馬哈馬貿易有限公司","南投縣水里鄉頂崁村水信路1段318巷5號1樓","柯偉立","0","1040908"
"38","24798126","新加坡商碁諾半導體股份有限公司","臺中市西區民龍里英才路470巷7號3樓之9","劉承泰","500000","1040908"
"39","24798147","香港商格雷斯貿易有限公司","臺北市松山區敦化北路170號15樓","Tay Pei Pei","500000","1040911"
"40","24798152","英屬維京群島商麥威爾國際有限公司","臺南市永康區龍潭里中山北路164巷120之2號5樓","莊雅涵","800000","1040908"
"41","24798168","香港商里卡多有限公司","臺北市南港區忠孝東路6段21號5樓","卡米高 ","5000000","1040909"
"42","24798174","精英遊留學有限公司","金門縣金城鎮民族路167號","柯蓉蓉","500000","1040909"
"43","24798189","英屬維京群島商好荃崴有限公司","臺北市中山區松江路69巷14號1樓","鍾苡玲","6500000","1040909"
"44","24798195","貝里斯商思克貿易有限公司","新北市中和區平河里中正路736號8樓之7","唐純智","0","1040909"
"45","24798202","薩摩亞商金獅數位科技有限公司","臺中市北屯區東山路1段238巷34弄22號1樓","鍾艾婷","1000000","1040909"
"46","24798224","日商寶和通商有限公司","高雄市苓雅區四維三路6號5樓之1","侯燕","0","1040923"
"47","24798245","鑫祥開發有限公司","金門縣金湖鎮正義里夏興86號","楊忠尉","500000","1040910"
"48","24798250","英商弗凱爾國際有限公司","臺北市松山區南京東路5段405號7樓之4","林岱霏","300000","1040910"
"49","24798287","貝里斯商瑆辰有限公司","臺北市大安區羅斯福路2段91號17樓","劉建志","5000000","1040911"
"50","24798316","貝里斯商視芯科技股份有限公司","新竹市東區公道五路2段180號3樓","孟繁麟","100000","1040910"
"51","24798337","塞席爾商聯昇國際實業有限公司","臺北市中正區重慶南路1段43號12樓之4","温村生","5000000","1040911"
"52","24798343","香港商具博力有限公司","臺中市西屯區逢甲路202號10樓之2","張華真","1000000","1040911"
"53","24798385","薩摩亞商思邁特國際股份有限公司","臺北市中山區朱園里建國北路1段126號1樓","許振煙","6000000","1040914"
"54","24798391","虹宥有限公司","金門縣金城鎮北門里中興路146巷14號","吳鎮楠","100000","1040911"
"55","24798414","日商日動畫廊股份有限公司","臺北市松山區敦化南路1段57號3樓之2","岩瀬幸子","2000000","1040911"
"56","24798420","英屬維京群島商金士吉有限公司","臺北市大安區敦化南路1段228號6樓","邱麗靜","7103564","1040914"
"57","24798456","日商牌路股份有限公司","臺北市大安區龍圖里復興南路2段86-3號","佐藤亨一","1000000","1040914"
"58","24798462","英屬維京群島商帝圖全球股份有限公司","臺北市信義區基隆路2段189號9樓之2","余泰興","6000000","1040914"
"59","24798478","美商諾哲沃有限公司","臺北市內湖區洲子街183號3樓","JASON  EDWARD  PASS","350000","1040914"
"60","24798511","驫運企業有限公司","連江縣南竿鄉仁愛村9號","曹嘉仁","1000000","1040914"
"61","24798527","英屬維京群島商富餚股份有限公司","臺北市松山區南京東路4段171號12樓之2","李明山","20000000","1040915"
"62","24798532","韓商達德電子股份有限公司","新竹縣竹北市嘉豐五路2段117號","朴俊杓","0","1040916"
"63","24798548","汶萊商華景國際有限公司","新北市淡水區新民街1段81-1號14樓","戎啟平","5000000","1040915"
"64","24798553","塞席爾商東方太陽餐飲有限公司","桃園市桃園區南平路206號","簡依帆","500000","1040916"
"65","24798569","美商玖發國際有限公司","臺北市松山區復興北路99號14樓","莫澤修","0","1040916"
"66","24798580","香港商酷玩娛樂股份有限公司","臺北市大安區通安里安和路2段63號5樓","岑子翔","150000","1040917"
"67","24798596","英屬開曼群島商騰昊資產管理有限公司","臺北市內湖區行愛路159號4樓","程正樺","0","1040916"
"68","24798603","新加坡商陳唱丸美有限公司","臺北市內湖區新明路86巷1號2樓","木內哲也","5000000","1040916"
"69","24798630","日商英知創股份有限公司","臺北市信義區基隆路2段51號14樓","宮藤 康聡","0","1040916"
"70","24798673","英屬維京群島商展訊科技有限公司","臺北市大安區光復南路412號7樓之2","唐治民","500000","1040917"
"71","24798717","日商富士急行股份有限公司","臺北市中山區長春路6號7樓之2","土橋一仁","0","1040918"
"72","24798723","美商李文斯頓股份有限公司","臺北市松山區敦化北路170號3樓","古麥修","4500000","1040918"
"73","24798738","香港商設計有限公司","高雄市三民區天祥一路90號1樓","弗安德","0","1040918"
"74","24798759","英屬維京群島商深六潛水股份有限公司","新北市板橋區新海路190號15樓","古育瑋","4000000","1040918"
"75","24798771","澳商捷達國際地產有限公司","臺北市大安區忠孝東路4段270號17樓","康秩維","0","1040921"
"76","24798786","建德船舶貨物裝卸承攬股份有限公司","金門縣金城鎮民權路136號","黃奕龍","12000000","1040921"
"77","24798792","牧金有限公司","金門縣金湖鎮新湖里漁村160號","許金城","29000000","1040921"
"78","24798809","貝里斯商名豐有限公司","臺中市西區大隆路20號12樓之2","楊賢源","0","1040921"
"79","24798821","日商艾美多股份有限公司","臺北市大同區承德路2段81號11樓之3","早川洋","500000","1040921"
"80","24798857","馬紹爾群島商鈞億國際有限公司","臺中市西區忠明南路303號8樓之1","林朝欽","0","1040922"
"81","24798863","春慶營造工程有限公司","金門縣金湖鎮市港路35號2樓之3","黃國慶","3000000","1040922"
"82","24798884","香港商宏澯科技有限公司","臺北市中正區忠孝西路1段33號7樓","MAXAM YEUNG","500000","1040923"
"83","24798890","英屬維京群島商黎碁堡有限公司","新北市板橋區四川路2段16巷10號","江韋達","20000000","1040922"
"84","24798907","香港商伊惟品新潔股份有限公司","臺北市內湖區新明路355號地下1層","楊良智","1000000","1040923"
"85","24798913","華安航運股份有限公司","金門縣金寧鄉湖埔村環島西路2段42號","劉漢廷","3600000","1040923"
"86","24798955","日商賽博艾堅特股份有限公司","臺北市信義區松高路9號27樓","小池英二","3000000","1040922"
"87","24798961","英商科能有限公司","臺北市信義區信義路5段7號46樓之1","白安卓","5000000","1040923"
"88","24798977","德樸股份有限公司","金門縣金城鎮西海路1段9號","朱志民","2000000","1040923"
"89","24798982","新加坡商摩美訊有限公司","新北市永和區中和路345號14樓之2","郭伶曲","600000","1040923"
"90","24799027","金源興營造有限公司","金門縣金湖鎮新湖里湖前95號1樓","陳岱元","3000000","1040923"
"91","24799053","奧地利商普銳特有限公司","高雄市前鎮區中山二路91號13樓之4","廖家宏","0","1040923"
"92","24799069","秀太整合行銷有限公司","金門縣金寧鄉盤山村伯玉路2段225-1號","張志華","1000000","1040923"
"93","24799075","日商產業經濟新聞社股份有限公司","臺北市中山區松江路209號","田中靖人","0","1040925"
"94","24799103","巨新光電科技有限公司","金門縣金城鎮富康一村1巷1號","鄭力豪","1500000","1040930"
"95","24799125","堉加健康科技有限公司","金門縣金湖鎮新湖里湖前285號1樓","曾煒智","100000","1040924"
"96","24799151","新加坡商巨泰倉儲物流有限公司","新北市永和區民族街37巷1弄9號","梁天鼎","3000000","1040925"
"97","24799167","貝里斯商花園科技有限公司","臺北市中山區林森北路372號7樓","姜廼穎","60000000","1040925"
"98","24799188","日商未來都市建築設計股份有限公司","臺北市信義區基隆路2段51號14樓","城內優樹","0","1040925"
